Giudo,Espinal bueno,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,ESSGIU56Q22F938M,Gemona del friuli,Via Battiferro,18036742093
Ormido,Corso,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,CORORO48M03N600E,Gemona del friuli,Via Battiferro,79987069733
Riodante,Vici,Azienda per i servizi sanitari n 3alto friuli,ente pubblico,VICRIE06C30M217M,Gemona del friuli,Via Battiferro,93183789208
Felido,Rimondo,Azienda per i servizi sanitari n 4 medio friulidistretto di manzano,ente pubblico,RIOFEO11W24F834P,Manzano,Via Drusin,78634024567
Onoratino,Librale,Azienda per i servizi sanitari n1 triestina,ente pubblico,LIRONI00V34Y837U,Trieste,Via Giuseppe Giusti,12089528172
Maino,Muscedra,Azienda per i servizi sanitari n2 isontina,ente pubblico,MURMAN26E07W651S,Gorizia,Via degli Scogli,68526972159
Asiago,Limongelli,Azienda per i servizi sanitari n3 alto friuli,ente pubblico,LIOASS93K28Z072Q,Paluzza,Piazza Luglio,01449417083
Aureliano,Ciusco,Azienda per i servizi sanitari n3 alto friuli,ente pubblico,CISAUR97C32D153Z,Gemona del friuli,Via s Lucia,96761508570
Liduino,Peshkopia,Azienda per i servizi sanitari n4 medio friuli,ente pubblico,PEKLIO43B11R881N,Tricesimo,Via dei Carpini,27271504480
Fabrizio,Giurgola,Azienda per i servizi sanitari n4 medio friuli,ente pubblico,GIUFAI47J19N948I,Pagnacco,Via Garibaldi,18296196808
Anto,Colasanto,Azienda per i servizi sanitari n4 medio friuli,ente pubblico,COTANT13K29P783U,Buja,Via Ursinins Piccolo,84497697497
Fulgenzo,Caluori,Azienda per i servizi sanitari n4 medio friuli,ente pubblico,CARFUZ44X39P488C,Povoletto,Via Dante,88008754941
Fortino,Falco,Azienda per l assistenza sanitaria n 3 alto friulicollinaremedio friuli,ente pubblico,FACFOO77Y06Y437T,Moggio udinese,Moggio Udinese Via G Ermolli,71036949049
Buono,Levani,Azienda per lassistenza sanitaria n 2 bassa friulanaisontina,ente pubblico,LEEBUO31U15T168Q,Lignano sabbiadoro,Via Tarvisio B,53124748298
Oronzo,Kermane,Azienda per lassistenza sanitaria n 5 friuli occidentale,ente pubblico,KERORN95R16E925I,Maniago,Via Campagna,15314834636
Enotrio,Mamone,"Azienda per lassistenza sanitaria n 5 ""friuli occidentale""",ente pubblico,MAEENN08E03P144F,Pordenone,Viale Franco Martelli,89087510780
Averio,Melito,Azienda per lassistenza sanitaria n2 bassa friulanaisontina,ente pubblico,METAVE93U16J016O,Cormons,Viale Venezia Giulia,76406560169
Carmelino,Morlino,Azienda per lassistenza sanitaria n5 friuli occidentale,ente pubblico,MONCAE86Q36J549S,Spilimbergo,Via Sanzio Raffaello,84690596033
Radamez,Stewart,Azienda per lassistenza sanitaria n5 friuli occidentale,ente pubblico,STTRAA65R35Y892G,Pordenone,Via della Vecchia Ceramica,11968446420
Navarino,Melcarne,Azienda per lassistenza sanitaria n5 friuli occidentale,ente pubblico,MELNAI04A36A374D,Maniago,Via Unita d Italia,99950893447
Ippolito,Argentieri,Azienda sanitaria asugi,ente pubblico,ARTIPP37M11H130J,Monfalcone,Via V Veneto,47191347082
Eleodoro,Farella,Azienda sanitaria asugi,ente pubblico,FALELR66R10Q319J,Gorizia,Via Galvani,25192930785
Agesilao,Dinnocenzo,Azienda sanitaria asugi,ente pubblico,D IAGI21Y27G127U,Monfalcone,Via Romana,18722488806
Abdone,Mezzapesa,Azienda sanitaria asugi,ente pubblico,MEZABE31Q19S957G,Trieste,V le Fatebenefratelli,40529051242
Orestino,Conte torelli,Azienda sanitaria asugi,ente pubblico,CO ORN12J18H250Y,Gorizia,Via Costantino Costantinides,80002843484
Allegro,Rampino,Azienda sanitaria asugi,ente pubblico,RAMALR59H34V112D,Monfalcone,Via Costantino Costantinides,61100181109
Gelmo,Bomba,Azienda sanitaria asugi,ente pubblico,BOMGEM94Q03O053Z,Trieste,Via Galvani,25636576733
Arienzo,Zanini,Azienda sanitaria asugi,ente pubblico,ZAIARZ47Q19S461B,Cormons,Viale Venezia Giulia,50896236810
Clelio,Azzurretto,Azienda sanitaria asugi,ente pubblico,AZRCLO43D04F838F,Trieste,Via C Costantinides,03786017625
Andro,Tedeschi,Azienda sanitaria universitaria asugi,ente pubblico,TESANN17N17X689L,Cormons,Guardia Medica,82022900137
Alemanno,Bisanti,Azienda sanitaria universitaria azienda per lassistenza sanitaria n 2 bassa friulanaisontina,ente pubblico,BINALA21R29S698B,Gradisca disonzo,Guardia Medica,69670156681
Ronaldo,Primiceli,Azienda sanitaria universitaria friuli centrale,ente pubblico,PRIROA93F31C604D,Latisana,Via Sabbionera,48811948183
Roviglio,Petruzzelli,Azienda sanitaria universitaria friuli centrale,ente pubblico,PEZROO46M13W495R,Tolmezzo,Via Morgagni Giobatta,24453933589
Fiorenzo,Turano,Azienda sanitaria universitaria friuli centrale,ente pubblico,TUAFIE74T13M388I,San giorgio di nogaro,Via Palmanova,72357837660
Fiorigio,Demarinis,Azienda sanitaria universitaria friuli centrale,ente pubblico,DEMFII10N23X580P,Palmanova,Via Natisone,42056676284
Arturo,Scrascia,Azienda sanitaria universitaria giuliano isontina,ente pubblico,SCSARU30W02M885K,Trieste,Via Pasteur Louis B,17057444657
Rainiero,Coltellacci,Azienda sanitaria universitaria giuliano isontina,ente pubblico,COARAA81Z17W252C,Cormons,Viale Venezia Giulia,13577727357
Jader,Criado lopez,Azienda sanitaria universitaria integrata di udine,ente pubblico,CROJAA62U38R028E,Udine,Via Comesatti Udine,35563605885
Adelisio,Tortora,Azienda sanitaria universitaria integrata di udine,ente pubblico,TOTADE32H07Y404P,Tarcento,Piazza del Mercato Tarcento,21232647249
Lidamo,Paracelli,Azienda sanitaria universitaria integrata di udine,ente pubblico,PAALIA23W19A769J,Tarcento,Via Carraria,68104524259
Pascuccio,Ventura,Azienda sanitaria universitaria integrata di udine,ente pubblico,VEAPAU77V01U140O,Tolmezzo,Via Cojaniz,82353001080
Arealdo,Ficco,Azienda sanitaria universitaria integrata di udine,ente pubblico,FIOARE04S08Y496O,Palmanova,Via Palmanova,59808404783
Enos,Prinari,Azienda sanitaria universitaria integrata di udine,ente pubblico,PRRENS42N02X561G,San daniele del friuli,Via Molin,43225889090
Italino,Marasigan,Azienda sanitaria universitaria integrata di udine,ente pubblico,MARITI45F35N761S,Udine,Vl Duodo,57427764067
Annibale,Caushi,Azienda sanitaria universitaria integrata di udine,ente pubblico,CAIANN73D29U231L,Udine,Viale Trieste,72444914244
Gismondo,Pacifico,Azienda sanitaria universitaria integrata di udine,ente pubblico,PACGIO35E22S592K,San daniele del friuli,Viale Trento e Trieste,17849418605
Castrenzo,Coriandro,Azienda sanitaria universitaria integrata di udine,ente pubblico,COOCAA39J32S792P,Tolmezzo,V Morgagni,58343680060
Olemo,Mu,Azienda sanitaria universitaria integrata di udine,ente pubblico,MUUOLE72V08C660O,Gemona del friuli,Via Carnia Libera,47631724334
Cusumano,Monittola,Azienda sanitaria universitaria integrata di udine,ente pubblico,MOICUU87I33A711V,Latisana,Via Rodolone,28486006171
Loddo,Barbetta,Azienda sanitaria universitaria integrata di udine,ente pubblico,BARLOO27V28J908G,San giorgio di nogaro,Via Sabbionera,14244491015
Orelio,Fumagalli,Azienda sanitaria universitaria integrata di udine,ente pubblico,FUAORR89A32V074C,Codroipo,Viale Trento e Trieste,62568227931
Guglielmo,Manica,Azienda sanitaria universitaria integrata di udine,ente pubblico,MACGUG75D10K354Q,Cividale del friuli,V Carraria,89166259021
Giovenzio,Baricelli,Azienda sanitaria universitaria integrata di udine,ente pubblico,BALGIO28Q04P322Z,Latisana,Sabbionera,54693639077
Gasparre,Satkunasingam,Azienda sanitaria universitaria integrata di udine,ente pubblico,SAUGAR42S01P344U,Palmanova,Via Natisone,52823881191
Orillo,El mouhadeb,Azienda sanitaria universitaria integrata di udine,ente pubblico,ELOORI98P11V638J,Udine,Via Chiusaforte,29608386896
Aristeo,Zapparrata,Azienda servizi sanitari n 4 medio friuli,ente pubblico,ZAAARS15J07P530B,Tricesimo,Via ss Vito e Modesto,31686907256
Aldimaro,Menza,Azienda servizi sanitari n4 medio friuli,ente pubblico,MEAALI38A29U539G,Udine,Via Laipacco,41183450452
Agamennone,Piccolo,Azienda servizi sanitari n4 medio friuli,ente pubblico,PIIAGE51M06G256N,Udine,Via Pieri Gino,90047792986
Morosino,Rucco,Azienda servizi sanitari n4 medio friuli,ente pubblico,RUCMOO16P19V480U,Udine,Via Piemonte,42146959416
Boerio,Gaeta,Azienda servizi sanitari n4 medio friuli,ente pubblico,GATBOR18G26D366G,Coseano,Via San Andrea,90015955196
Protasio,Sportella,Azienda servizi sanitari n4 medio friuli,ente pubblico,SPOPRI19E22F783Z,Manzano,Via Caterina Percoto,58434888446
Nemorino,Rasaratnam,Azienda servizi sanitari n4 medio friuli,ente pubblico,RARNEI57P14C167M,Tricesimo,Via dei Carpini Adorgnano,21601982989
Eliberto,Kuppusamy,Azienda servizi sanitari n4 medio friuli,ente pubblico,KUUELB41W06O912M,Udine,Via Piutti Arnaldo,02030285215
Ropeo,Covalenco,Azienda servizi sanitari n4 medio friuli,ente pubblico,COLROE91V20R905D,Udine,Via Pozzuolo,92776367118
Maffeo,Attolico,Barbaccia dr giuseppe,ente pubblico,ATLMAF04V31E537H,Udine,Largo dei Pecile,73943767347
Lauretto,Villanova,Baron paolo,ente pubblico,VIALAE01J39T211Y,Bagnaria arsa,Via Vittorio Veneto,87756021494
Riva,Paciulli,Bernardi dr giuseppina,ente pubblico,PALRIA40P18X510Y,Gorizia,Via Roma,86745288421
Silvano,Lissa,Bucci giuseppe dr,ente pubblico,LISSIO19S28D115Y,Forgaria nel friuli,Via Grap,73391903530
Agatocle,Argese,Buzzolo stefania,ente pubblico,ARRAGC94E15R132G,Udine,Via Bariglaria,82057485318
Offelio,Pulimeno,Callegari tiziana,ente pubblico,PUIOFI86Y37G059D,Manzano,Via Terzo Drusin,50842915028
Primo,Dellatti,Calã² cosimo salvatore,ente pubblico,DELPRM11X17V014C,Buja,Via Divisione Julia,49538056112
Bizio,Febbo,Candido dr adelma,ente pubblico,FEBBII93D11I143F,San daniele del friuli,Piazza Maggio,44820591898
Germondo,Petrelli,Centro di salute mentale di gemona del friuli csm,ente pubblico,PELGER77H06T590Y,Gemona del friuli,Via Santa Lucia,43037184811
Sigisfrido,Marrone,Centro unico vacinale,ente pubblico,MARSIO20Y13M879B,Trieste,Via Paolo de Ralli,84818722052
Aldesino,Cavone,Centro vaccinazioni,ente pubblico,CAAALI30I32O018R,Udine,Via Chiusaforte,27010509566
Melchiade,Luprano,Comito paolo daniele,ente pubblico,LUOMEL77M10W768M,Tarvisio,Via Vittorio Veneto,58453943871
Anastasio,Rillo,Compari dr mario,ente pubblico,RIOANI88G18X474P,San giovanni al natisone,Via Madonna del Podgora,86283461731
Sisino,De nuzzo,Culot dr paolo,ente pubblico,DEESII96T17U109W,Cormons,Via Gorizia,50586518476
Gianandrea,Ghidotti,Cup aas 3 di alto friuli collinare medio friuli,ente pubblico,GHIGIA08G29U320Y,Gemona del friuli,Piazzetta Portuzza,88577513208
Ottilio,Abdelhamid serra,Cup aas 5 di friuli occidentale,ente pubblico,ABBOTI94K26L978J,Azzano decimo,Via xv Aprile,18662524072
Asdrubale,Bufano,Cup aas 5 di friuli occidentale dell ospedale civile,ente pubblico,BUOASR49M28N685S,Pordenone,Via Montereale,96022394154
Amos,Totarofila,Cup aas 5 di friuli occidentale dell ospedale santa maria dei battuti,ente pubblico,TOFAMM14V27Q665F,San vito al tagliamento,Via Savorgnano,02060072828
Piave,Ugenti,Cup ass 2 di bassa friulanaisontina,ente pubblico,UGEPII34I20F796E,Grado,Via Michelangelo Buonarroti,48225121153
Littorino,Scipioni,Cup ass 2 di bassa friulanaisontina,ente pubblico,SCNLIT36K18U095D,Mossa,Via xiv Maggio,53247532082
Rigo,Grippa,Cup ass 2 di bassa friulanaisontina,ente pubblico,GRIRIG81V15H101R,Cormons,Viale Venezia Giulia,55030796618
Leucio,Ventricelli,Cup ass 2 di bassa friulanaisontina,ente pubblico,VEILEI11W36Q976B,Gradisca disonzo,Via Fleming,78288322815
Leonido,Pasanisi,Cup ass 2 di bassa friulanaisontina del presidio ospedaliero,ente pubblico,PASLEI16A31L537T,Palmanova,Via Natisone,72836196939
Reto,Romito,Cup ass 2 di bassa friulanaisontina dell ospedale san giovanni di dio,ente pubblico,ROIRET38F31E780C,Gorizia,Viale Fatebenefratelli,95341185627
Arconte,Oteyza rubido,Cup asugi di muggia,ente pubblico,OTBARC26H22K247C,Muggia,Via Cesare Battisti,35298343564
Clemens,Dodaro,Cup asui di trieste,ente pubblico,DOOCLM68O01W979K,Trieste,Via del Farneto,98729343239
Gaudenzo,Menon,Cup asui di udine,ente pubblico,MEOGAN63M07U012G,Udine,Via San Valentino,45777669548
Massimino,Briganti,Cup asui di udine,ente pubblico,BRNMAM63R13M972T,Tarcento,Via Coianiz,81075759838
Carmelo,Pedio,Cup asui di udine,ente pubblico,PEICAE02V04E803B,Udine,Via Pozzuolo,58845712739
Carmelino,Boatti,Cup azienda per i servizi sanitari 2 isontina,ente pubblico,BOICAR87C37L881N,Cormons,Viale Venezia Giulia,79275145839
Santi,Lovasz,Dipartimento di prevenzione,ente pubblico,LOASAA36S02W377Z,Udine,Via Chiusaforte,75882272348
Librando,Pilolli,Dipartimento di prevenzione,ente pubblico,PIILIA59U02Y603F,Pordenone,Via della Vecchia Ceramica,01649368050
Dono,Mazzeo gigante,Dipartimento salute mentale,ente pubblico,MAADOO37E29V667L,Trieste,Viale Miramare,38271609007
Reginaldo,Bathily,Distretto di latisana,ente pubblico,BAYRED10N02O788W,San giorgio di nogaro,Via Palmanova,98044065425
Sigfredo,Casi lebbe,Distretto est di palmanovaaas 2,ente pubblico,CABSIF33L34H967R,Palmanova,Via Molin,86258559733
Andreino,Cardignan,Distretto sanitario,ente pubblico,CAGANI16U23J311L,Tarcento,Via P Coianiz,40656484622
Mercurio,Demarinis,Distretto sanitario,ente pubblico,DEAMEC01P39H759Z,Tarcento,Via Cojaniz,17569569071
Osmildo,Palomba,Distretto sanitario,ente pubblico,PABOSO13T20R717B,Udine,V San Valentino,62044612691
Mariomaria,Eremita,Distretto sanitario del sile asfo,ente pubblico,ERRMAA21Q15R538B,Azzano decimo,V xv Aprile,92252394905
Otero,Avellis,Donati de conti rosalba,ente pubblico,AVLOTR14E34N607Z,Moruzzo,Via Centa,34901431472
Elverino,Falerno,Dsmdirezione dipartimento di salute mentale,ente pubblico,FANELN46O22I013S,Trieste,Via Edoardo Weiss,29735821441
Libio,Fiscini,Giacomel micaela,ente pubblico,FICLII51V35N476I,Roveredo in piano,Via xx Settembre,98134193195
Ario,Simmini,Guardia medica,ente pubblico,SIMARI38V20S919J,Sutrio,P xi xii Luglio Paluzza,41276582043
Roderico,Cittadella,Guardia medica,ente pubblico,CILROR83H14I396B,Zuglio,P Luglio Paluzza,85364632678
Ramiro,Gabriele,Guardia medica,ente pubblico,GAERAI06E08F258H,Castelnovo del friuli,V Macilas Vito d Asio Anduins,60926377755
Aquilino,Hamzaj,Guardia medica,ente pubblico,HAMAQI55O37M182T,Clauzetto,V Macilas Vito d Asio Anduins,67363361191
Gelmo,Indennitate,Guardia medica,ente pubblico,INDGEL67D30W289U,Reana del rojale,V Dante,25059772746
Oride,Stanca,Guardia medica,ente pubblico,STAORI18H03U190I,Attimis,V Dante,16106645946
Audace,Serio,Guardia medica,ente pubblico,SERAUD66N27P857E,San leonardo,V dei Klan i,39661329697
Dimma,Rizzini,Guardia medica,ente pubblico,RIZDIM70Q05J058W,Barcis,Notturna Presso Ospedale Maniago,00369292568
Idalmo,Florio,Guardia medica,ente pubblico,FLLIDL46W10Z448N,Buja,V Vidiset Buja,07586372421
Fiorluigi,Dumitru,Guardia medica,ente pubblico,DUIFII51W27K428E,Taipana,V Dante,45229908393
Ramone,Guercia,Guardia medica,ente pubblico,GUURAM73K35Y553V,Faedis,V Dante,33426836702
Giovammaria,Lala,Guardia medica,ente pubblico,LALGIA16G11X359O,Cercivento,P xi xii Luglio Paluzza,62573502664
Rofino,Vinciguerra,Guardia medica,ente pubblico,VICRON27V24Z094L,Tarcento,V Cojaniz Tarcento,74536859175
Etrusco,Terribile,Guardia medica,ente pubblico,TEIETU03N06L852R,Claut,Notturna Presso Ospedale Maniago,92105881761
Gabino,Olimpo,Guardia medica,ente pubblico,OLOGAA20W17P411F,Vito dasio,Notturna Presso Ospedale Spilimbergo Anduins,80670618914
Oberdino,Colaci,Guardia medica,ente pubblico,COCOBE34H07T959W,Pinzano al tagliamento,Notturna Presso Ospedale Spilimbergo,56736555994
Arimondo,Capaldo,Guardia medica,ente pubblico,CALARN67T17H652O,,,38634539161
Barbaro,Metrillo,Guardia medica,ente pubblico,MERBAO73H19L342O,Forni di sopra,V Nazionale,70071381024
Iello,Gambino,Guardia medica,ente pubblico,GAMIEL79U25Z902Z,Meduno,V del Municipio Meduno,27594822171
Rimo,Gidiuli,Guardia medica,ente pubblico,GIURII23I01J485I,Cervignano del friuli,Via Trieste,27743773300
Rossi,Rispoli,Guardia medica,ente pubblico,RIIROI41I05L825E,San pietro al natisone,V del Klan i,77227679544
Fidelfo,Mohsen abdel latif abdel wahed,Guardia medica,ente pubblico,MOEFIL87Q13T740H,Castelnovo del friuli,Notturna V del Municipio,50250802199
Elvio,Caramuscio,Guardia medica,ente pubblico,CAIELO17G30G920L,Clauzetto,Notturna V del Municipio,67647565763
Darvino,Funel,Guardia medica,ente pubblico,FUEDAV91Z13R334O,Tarvisio,Vittorio Veneto,87843713674
Pepi,Antonazzo,Guardia medica,ente pubblico,ANTPEI58U31D542P,Ampezzo,Pl Caduti Ampezzo,33288017075
Neero,Iandoli,Guardia medica,ente pubblico,IAINEE52U00I455R,Lignano sabbiadoro,Via Tarvisio B,31254588070
Amadio,Nutricato,Guardia medicaservizio di continuita assistenziale,ente pubblico,NUCAMO01B19R052N,Manzano,Via Terzo Drusin,48166343253
Ezio,Palmiotta,Guardia medicaservizio di continuita assistenziale,ente pubblico,PALEZI36L18W498R,Ovaro,Via ex Ferrovia,23206506088
Mazzinio,La porta,Guardia medicaservizio di continuita assistenziale,ente pubblico,LAOMAZ48T26D109I,Cervignano del friuli,Via Trieste,30919651789
Basile,Galiulo,Guardia medicaservizio di continuita assistenziale,ente pubblico,GALBAA81P32Y614U,San giorgio di nogaro,Via Palmanova,32109476528
Donatino,Ferrari,Guardia medicaservizio di continuita assistenziale,ente pubblico,FERDOT24F03A438D,Cormons,Viale Venezia Giulia,14500206665
Roboano,Caroppo,Guardia medicaservizio di continuita assistenziale,ente pubblico,CAOROO29X17M555L,Monfalcone,Via Galvani,43759001804
Evenzo,Doria,Guardia medicaservizio di continuita assistenziale,ente pubblico,D OEVO31N00U501V,Latisana,Via Sabbionera,25185468154
Metardo,Perulli,Guardia medicaservizio di continuita assistenziale,ente pubblico,PELMER94J30P509S,Grado,Via Michelangelo Buonarroti,09570611138
Daniele,Moreira,Guardia medicaservizio di continuita assistenziale,ente pubblico,MORDAE07T37Y169I,Udine,Via Gervasutta,02511613332
